2020-04-06 05:22:43 status unpacked libsemanage1:armhf 2.3-1build3
2020-04-06 05:22:43 install libsepol1:armhf <none> 2.4-2
2020-04-06 05:22:43 status half-installed libsepol1:armhf 2.4-2
2020-04-06 05:22:43 status unpacked libsepol1:armhf 2.4-2
2020-04-06 05:22:43 status unpacked libsepol1:armhf 2.4-2
2020-04-06 05:22:43 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2020-04-06 05:22:43 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:43 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:43 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:43 install libss2:armhf <none> 1.42.13-1ubuntu1
2020-04-06 05:22:43 status half-installed libss2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:43 status unpacked libss2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:43 status unpacked libss2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:43 install libsystemd0:armhf <none> 229-4ubuntu4
2020-04-06 05:22:43 status half-installed libsystemd0:armhf 229-4ubuntu4
2020-04-06 05:22:43 status unpacked libsystemd0:armhf 229-4ubuntu4
2020-04-06 05:22:43 status unpacked libsystemd0:armhf 229-4ubuntu4
2020-04-06 05:22:43 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2020-04-06 05:22:43 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2020-04-06 05:22:43 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2020-04-06 05:22:43 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2020-04-06 05:22:43 install libudev1:armhf <none> 229-4ubuntu4
2020-04-06 05:22:43 status half-installed libudev1:armhf 229-4ubuntu4
2020-04-06 05:22:43 status unpacked libudev1:armhf 229-4ubuntu4
2020-04-06 05:22:43 status unpacked libudev1:armhf 229-4ubuntu4
2020-04-06 05:22:43 install libustr-1.0-1:armhf <none> 1.0.4-5
2020-04-06 05:22:43 status half-installed libustr-1.0-1:armhf 1.0.4-5
2020-04-06 05:22:43 status unpacked libustr-1.0-1:armhf 1.0.4-5
2020-04-06 05:22:43 status unpacked libustr-1.0-1:armhf 1.0.4-5
2020-04-06 05:22:43 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2020-04-06 05:22:43 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:43 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:43 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
